YEAR,GRADE,SEX,WGT,NEG_SCORE,SE_1ITEM,SE_3ITEM,Q30A1,Q30A2,Q30A3,Q30A4
2020,초6,1.0,0.8284418183189015,3.6666666666666665,4.0,,3.0,4.0,4.0,4.0
2020,초6,1.0,0.8284418183189015,3.0,3.0,,3.0,3.0,3.0,3.0
2020,초6,1.0,0.8284418183189015,3.6666666666666665,4.0,,4.0,4.0,3.0,4.0
2020,초6,1.0,0.8284418183189015,3.3333333333333335,3.0,,3.0,4.0,3.0,3.0
2020,초6,1.0,0.8284418183189015,4.0,4.0,,4.0,4.0,4.0,4.0
2020,초6,1.0,0.8284418183189015,4.0,4.0,,4.0,4.0,4.0,4.0
2020,초6,1.0,0.8284418183189015,3.0,3.0,,3.0,3.0,3.0,3.0
2020,초6,1.0,0.8284418183189015,3.0,2.0,,3.0,4.0,2.0,2.0
2020,초6,1.0,0.8284418183189015,3.0,3.0,,3.0,3.0,3.0,3.0
2020,초6,1.0,0.8284418183189015,3.0,3.0,,3.0,3.0,3.0,3.0
2020,초6,1.0,0.8284418183189015,3.0,2.0,,3.0,4.0,2.0,2.0
2020,초6,1.0,0.8284418183189015,3.3333333333333335,3.0,,4.0,4.0,2.0,3.0
2020,초6,1.0,0.8284418183189015,3.6666666666666665,3.0,,4.0,4.0,3.0,3.0
2020,초6,1.0,0.8284418183189015,4.0,4.0,,4.0,4.0,4.0,4.0
2020,초6,1.0,0.8284418183189015,3.0,3.0,,3.0,3.0,3.0,3.0
2020,초6,2.0,0.9967743130405303,3.6666666666666665,4.0,,4.0,4.0,3.0,4.0
2020,초6,2.0,0.9967743130405303,3.3333333333333335,4.0,,3.0,4.0,3.0,4.0
2020,초6,2.0,0.9967743130405303,2.6666666666666665,1.0,,3.0,4.0,1.0,1.0
2020,초6,2.0,0.9967743130405303,3.3333333333333335,4.0,,4.0,3.0,3.0,4.0
2020,초6,2.0,0.9967743130405303,3.6666666666666665,3.0,,4.0,4.0,3.0,3.0
2020,초6,2.0,0.9967743130405303,3.3333333333333335,3.0,,4.0,3.0,3.0,3.0
2020,초6,2.0,0.9967743130405303,4.0,4.0,,4.0,4.0,4.0,4.0
2020,초6,2.0,0.9967743130405303,4.0,4.0,,4.0,4.0,4.0,4.0
2020,초6,2.0,0.9967743130405303,4.0,4.0,,4.0,4.0,4.0,4.0
2020,초6,2.0,0.9967743130405303,3.6666666666666665,4.0,,3.0,4.0,4.0,4.0
2020,초4,2.0,0.8562686405570227,3.0,4.0,,3.0,3.0,3.0,4.0
2020,초4,2.0,0.8562686405570227,3.6666666666666665,4.0,,3.0,4.0,4.0,4.0
2020,초4,2.0,0.8562686405570227,2.6666666666666665,1.0,,3.0,3.0,2.0,1.0
2020,초4,2.0,0.8562686405570227,3.3333333333333335,3.0,,3.0,4.0,3.0,3.0
2020,초4,2.0,0.8562686405570227,3.6666666666666665,4.0,,3.0,4.0,4.0,4.0
2020,초4,2.0,0.8562686405570227,3.6666666666666665,3.0,,4.0,4.0,3.0,3.0
2020,초4,2.0,0.8562686405570227,3.0,3.0,,3.0,3.0,3.0,3.0
2020,초4,2.0,0.8562686405570227,3.6666666666666665,3.0,,4.0,4.0,3.0,3.0
2020,초4,2.0,0.8562686405570227,3.0,3.0,,3.0,3.0,3.0,3.0
2020,초4,2.0,0.8562686405570227,2.6666666666666665,2.0,,3.0,3.0,2.0,2.0
2020,초4,2.0,0.8562686405570227,3.3333333333333335,4.0,,3.0,4.0,3.0,4.0
2020,초4,1.0,0.8889165903872622,3.0,2.0,,3.0,4.0,2.0,2.0
2020,초4,1.0,0.8889165903872622,3.0,3.0,,3.0,3.0,3.0,3.0
2020,초4,1.0,0.8889165903872622,2.6666666666666665,3.0,,3.0,3.0,2.0,3.0
2020,초4,1.0,0.8889165903872622,3.3333333333333335,3.0,,3.0,4.0,3.0,3.0
2020,초4,1.0,0.8889165903872622,4.0,4.0,,4.0,4.0,4.0,4.0
2020,초4,1.0,0.8889165903872622,3.0,2.0,,4.0,3.0,2.0,2.0
2020,초4,1.0,0.8889165903872622,3.6666666666666665,3.0,,3.0,4.0,4.0,3.0
2020,초4,1.0,0.8889165903872622,3.3333333333333335,3.0,,3.0,4.0,3.0,3.0
2020,초4,1.0,0.8889165903872622,3.6666666666666665,3.0,,4.0,4.0,3.0,3.0
2020,초4,1.0,0.8889165903872622,3.3333333333333335,4.0,,3.0,4.0,3.0,4.0
2020,초4,1.0,0.8889165903872622,3.6666666666666665,4.0,,3.0,4.0,4.0,4.0
2020,초4,1.0,0.8889165903872622,3.0,4.0,,3.0,3.0,3.0,4.0
2020,초5,1.0,0.8649024684810102,3.6666666666666665,3.0,,4.0,4.0,3.0,3.0
2020,초5,1.0,0.8649024684810102,3.6666666666666665,3.0,,4.0,4.0,3.0,3.0
2020,초5,1.0,0.8649024684810102,3.6666666666666665,3.0,,4.0,4.0,3.0,3.0
2020,초5,1.0,0.8649024684810102,2.3333333333333335,3.0,,3.0,2.0,2.0,3.0
2020,초5,1.0,0.8649024684810102,3.3333333333333335,,,4.0,3.0,3.0,
2020,초5,1.0,0.8649024684810102,3.6666666666666665,3.0,,4.0,4.0,3.0,3.0
2020,초5,1.0,0.8649024684810102,3.0,3.0,,3.0,3.0,3.0,3.0
2020,초5,1.0,0.8649024684810102,2.6666666666666665,3.0,,2.0,3.0,3.0,3.0
2020,초5,1.0,0.8649024684810102,2.6666666666666665,2.0,,3.0,3.0,2.0,2.0
2020,초5,1.0,0.8649024684810102,3.0,3.0,,3.0,3.0,3.0,3.0
2020,초5,1.0,0.8649024684810102,3.3333333333333335,2.0,,4.0,3.0,3.0,2.0
2020,초5,1.0,0.8649024684810102,3.0,3.0,,3.0,3.0,3.0,3.0
2020,초5,1.0,0.8649024684810102,3.3333333333333335,3.0,,3.0,4.0,3.0,3.0
2020,초5,2.0,0.636230837044257,4.0,4.0,,4.0,4.0,4.0,4.0
2020,초5,2.0,0.636230837044257,4.0,4.0,,4.0,4.0,4.0,4.0
